address,planned_area_id
Gartenstraße 71,1
Eckenerstraße 14,1
Gartenstraße 72a,1
Gartenstraße 72,1
Gartenstraße 78,1
Gartenstraße 84,1
Melchersstraße 51,1
Nordstraße 14a,1
Dürerstraße 3,1
Coerdestraße 30,1
Melchersstraße 54,1
Kellermannstraße 13a,1
Kellermannstraße 15,1
Schulstraße 29,1
Schulstraße 28,1
Lublinring 2a,1
Lublinring 2,1
Sonnenstraße 66,1
Gartenstraße 108,1
Rjasanstraße 4a,1
Rjasanstraße 6,1
Grevener Straße 62,1
Grevener Straße 64,1
Grevener Straße 58,1
Grevener Straße 60,1
Grevener Straße 56,1
Grevener Straße 94,1
Kellermannstraße 7,1
Melchersstraße 87,1
Bergstraße 30,1
Bergstraße 38,1
Finkenstraße 11,1
Finkenstraße 9,1
Finkenstraße 6,1
Lazarettstraße 19,1
Steinfurter Straße 17,1
Kleimannstraße 25,1
Kleimannstraße 5,1
Sonnenstraße 85,1
Sonnenstraße 87,1
Sonnenstraße 88,1
Sonnenstraße 90,1
Am Kreuztor 6,1
Am Kreuztor 8,1
Dürerstraße 4,1
Am Kreuztor 9,1
Coerdestraße 14,1
Gartenstraße 1,1
Gartenstraße 6,1
Gartenstraße 8,1
Gartenstraße 21,1
Gartenstraße 25,1
Langemarckstraße 18,1
Cheruskerring 64,1
Langemarckstraße 16,1
Cheruskerring 56a,1
Münzstraße 6,1
Münzstraße 7,1
Friesenring 83,1
Friesenring 81,1
Friesenring 76,1
Kleimannstraße 13,1
Münzstraße 4,1
Tibusstraße 22,1
Tibusstraße 30c,1
Breul 1,1
Breul 7a,1
Breul 32,1
Stiftsherrenstraße 14,1
Stiftsherrenstraße 16,1
Stiftsherrenstraße 17,1
Neubrückenstraße 58c,1
Neubrückenstraße 58a,1
Grevener Straße 59,1
Grevener Straße 57,1
Gartenstraße 23,1
Grevener Straße 92,1
Grevener Straße 90,1
Grevener Straße 88a,1
Cheruskerring 55,1
Lazarettstraße 7,1
Schulstraße 1,1
Lazarettstraße 5,1
Lazarettstraße 3,1
Gartenstraße 51,1
Maximilianstraße 32,1
Maximilianstraße 34,1
Kanalstraße 25,1
Kleimannstraße 16,1
Kleimannstraße 18,1
Fürstenbergstraße 15,1
Fürstenbergstraße 14,1
Fürstenbergstraße 13,1
Münzstraße 1a,1
Steinfurter Straße 23,1
Steinfurter Straße 5,1
Grevener Straße 96,1
Steinfurter Straße 2,1
Friesenring 44,1
Friesenring 57,1
Friesenring 60,1
Friesenring 70,1
Friesenring 74,1
Friesenring 51,1
Bergstraße 30a,1
Hörsterstraße 52,1
Nordstraße 21,1
Nordstraße 23,1
Gartenstraße 38,1
Gartenstraße 81a,1
Gartenstraße 82,1
Gartenstraße 77,1
Gartenstraße 79,1
Gartenstraße 75,1
Gartenstraße 55,1
Gartenstraße 57c,1
Gartenstraße 53,1
Maximilianstraße 2,1
Maximilianstraße 1,1
Gartenstraße 45,1
Gartenstraße 47,1
Gartenstraße 43,1
Gartenstraße 41,1
Gartenstraße 37,1
Gartenstraße 39,1
Gartenstraße 33,1
Gartenstraße 35,1
Gartenstraße 31,1
Gartenstraße 27,1
Gartenstraße 19,1
Gartenstraße 36,1
Gartenstraße 73,1
Kleimannstraße 2,1
Kleimannstraße 4,1
Kleimannstraße 6,1
Kleimannstraße 7,1
Am Kreuztor 10,1
Münzstraße 7a,1
Münzstraße 5a,1
Münzstraße 38,1
Münzstraße 3b,1
Münzstraße 3a,1
Münzstraße 49,1
Lazarettstraße 2,1
Lazarettstraße 10,1
Friesenring 4,1
Kinderhauser Straße 49,1
Friesenring 79,1
Friesenring 69,1
Friesenring 67,1
Friesenring 65,1
Friesenring 49,1
Friesenring 9,1
Cheruskerring 85,1
Cheruskerring 77,1
Cheruskerring 79,1
Cheruskerring 61,1
Cheruskerring 51,1
Cheruskerring 49,1
An der Apostelkirche 3,1
An der Apostelkirche 1,1
Alter Fischmarkt 12,1
Bült 2,1
Bült 4,1
Bült 10,1
Bült 16,1
Bült 18,1
Bült 20,1
Mauritzstraße 33,1
Mauritzstraße 31,1
Mauritzstraße 32,1
Steinfurter Straße 4,1
Steinfurter Straße 8,1
Steinfurter Straße 10a,1
Steinfurter Straße 12,1
Steinfurter Straße 12a,1
Steinfurter Straße 14,1
Steinfurter Straße 18,1
Steinfurter Straße 20,1
Mauritzstraße 25,1
Mauritzstraße 23,1
Mauritzstraße 21,1
Mauritzstraße 4,1
Mauritzstraße 3,1
Bült 17,1
Bült 13a,1
Bült 11a,1
An der Apostelkirche 2,1
An der Apostelkirche 4,1
Kanalstraße 47,1
Kanalstraße 58,1
Kanalstraße 49,1
Tibusplatz 1,1
Stiftsherrenstraße 45,1
Stiftsherrenstraße 46,1
Raesfeldstraße 54,1
Raesfeldstraße 56,1
Friesenring 75,1
Gartenstraße 94,1
Lublinring 10,1
Ferdinandstraße 10,1
Kettelerstraße 25b,1
